"Folge","Titel","Sender","Erstausstrahlung","Ermittler","Fall","Autor","Regie","Besonderheiten"
562,"Abschaum","Radio Bremen","04.4.2004","Lürsen und Stedefreund",11,"Thorsten Näter","Thorsten Näter",""
563,"Hundeleben","WDR","12.4.2004","Ballauf und Schenk",27,"Nina Hoger","Manfred Stelzer",""
564,"Janus","HR","18.4.2004","Dellwo und Sänger",4,"Klaus-Peter Wolf","Klaus Gietinger","Günter-Strack-Fernsehpreis 2004 an Nadja Bobyleva"
565,"Mörderspiele","WDR","25.4.2004","Thiel und Boerne",5,"Stephan Meyer","Stephan Meyer",""
566,"Sechs zum Essen","BR","02.5.2004","Batic und Leitmayr",37,"Stefanie Kremser","Filippos Tsitos","Gastauftritt von Monika Gruber"
567,"Der vierte Mann","RBB","09.5.2004","Ritter und Stark",17,"Hartmann Schmige","Hannu Salonen",""
568,"Abgezockt","SWR","16.5.2004","Odenthal und Kopper",31,"Klaus-Peter Wolf","Christoph Stark",""
569,"Odins Rache","WDR","11.7.2004","Ballauf und Schenk",28,"Hannes Stöhr","Hannes Stöhr","Nominiert für den deutschen und europäischen Civis Fernsehpreis 2004"
570,"Gefährliches Schweigen","SWR","18.7.2004","Odenthal und Kopper",32,"Martin Eigler, Annette Bassfeld-Schepers","Martin Eigler",""
571,"Bienzle und der steinerne Gast","SWR","25.7.2004","Bienzle",19,"Felix Huby","Hartmut Griesmayr",""
572,"Der Wächter der Quelle","ORF","08.8.2004","Eisner",11,"Felix Mitterer, Holger Barthel","Holger Barthel",""
573,"Verraten und verkauft","WDR","19.9.2004","Ballauf und Schenk",29,"Peter Goslicki, Mario Giordano","Peter F. Bringmann",""
574,"Stirb und werde","NDR","10.10.2004","Borowski",3,"Orkun Ertener","Claudia Garde",""
575,"Herzversagen","HR","17.10.2004","Dellwo und Sänger",5,"Thomas Freundner, Stephan Falk","Thomas Freundner","Adolf-Grimme-Preis, Deutscher Fernsehkrimipreis, nominiert für den Deutschen Fernsehpreis 2005"
576,"Märchenwald","NDR","24.10.2004","Lindholm",5,"Martina Mouchot, Mitarbeit Orkun Ertener","Christiane Balthasar",""
577,"Teufelskreis","MDR","31.10.2004","Ehrlicher und Kain",35,"Fred Breinersdorfer, Hans-Werner Honert","Hans-Werner Honert",""
578,"Nicht jugendfrei","BR","07.11.2004","Batic und Leitmayr",38,"Gerlinde Wolf","Thomas Jauch",""
579,"Teufel im Leib","SR","14.11.2004","Palu",17,"Jochen Senf, Hans-Christoph Blumenberg","Hans-Christoph Blumenberg","Kurzauftritt des damaligen saarländischen Ministerpräsidenten Peter Müller"
